Max_Temp,Avg_Temp,Min_Temp,Max_Dew,Avg_Dew,Min_Dew,Max_Humidity,Avg_Humidity,Min_Humidity,Max_Wind,Avg_Wind,Min_Wind,Max_Pressure,Avg_Pressure,Min_Pressure,Date,Chicago,Miami,New York,Austin
61,51.3,43,38,31.6,23,79,50.3,26,18,10.8,0,29.5,29.4,29.3,2020-04-25,1.0,0.0,0.0,0.0
68,55.2,41,56,41.1,27,100,62.8,31,22,9.4,0,29.5,29.4,29.3,2020-04-26,1.0,0.0,0.0,0.0
75,64.2,54,63,57.1,54,100,80.0,50,18,9.9,3,29.2,29.1,28.9,2020-04-27,1.0,0.0,0.0,0.0
62,53.2,43,60,52.0,40,100,95.6,86,24,11.4,3,29.0,28.9,28.8,2020-04-28,1.0,0.0,0.0,0.0
53,46.4,42,42,39.4,35,96,77.6,59,23,14.1,6,29.3,29.1,28.9,2020-04-29,1.0,0.0,0.0,0.0
39,36.3,34,93,78.7,55,13,7.7,3,29.5,29.4,29.4,0.00,0,0,2020-04-30,1.0,0.0,0.0,0.0
50,39.9,27,22,12.3,4,72,38.3,16,15,7.9,0,29.9,29.8,29.6,2021-04-01,1.0,0.0,0.0,0.0
71,55.2,40,36,27.4,16,47,35.3,26,23,13.7,3,29.6,29.5,29.4,2021-04-02,1.0,0.0,0.0,0.0
76,62.6,46,40,36.2,33,63,40.6,22,13,5.8,0,29.5,29.4,29.3,2021-04-03,1.0,0.0,0.0,0.0
77,67.7,59,51,45.4,41,64,45.5,31,16,10.1,0,29.3,29.3,29.2,2021-04-04,1.0,0.0,0.0,0.0
82,70.8,58,51,47.4,44,65,44.5,30,18,11.8,8,29.3,29.2,29.2,2021-04-05,1.0,0.0,0.0,0.0
81,71.3,61,55,50.5,44,57,48.1,38,24,11.6,5,29.2,29.1,29.0,2021-04-06,1.0,0.0,0.0,0.0
69,59.4,51,56,51.5,44,90,75.7,54,18,10.0,0,29.0,28.9,28.9,2021-04-07,1.0,0.0,0.0,0.0
63,55.5,50,48,46.1,44,89,71.7,54,20,12.0,0,29.1,29.0,28.9,2021-04-08,1.0,0.0,0.0,0.0
56,53.1,49,52,48.1,42,90,83.2,71,14,7.2,0,29.1,28.8,28.7,2021-04-09,1.0,0.0,0.0,0.0
55,49.8,46,45,42.0,40,87,75.1,59,9,5.1,0,28.9,28.7,28.6,2021-04-10,1.0,0.0,0.0,0.0
63,54.9,50,48,41.1,31,86,62.3,40,22,11.4,0,29.3,29.1,28.9,2021-04-11,1.0,0.0,0.0,0.0
54,49.4,43,33,30.2,28,60,48.3,38,22,12.0,5,29.4,29.4,29.3,2021-04-12,1.0,0.0,0.0,0.0
50,43.7,37,29,24.1,21,58,46.5,38,18,10.7,5,29.5,29.4,29.4,2021-04-13,1.0,0.0,0.0,0.0
54,44.8,39,34,29.9,24,65,56.4,41,15,9.5,0,29.4,29.4,29.3,2021-04-14,1.0,0.0,0.0,0.0
51,45.3,41,36,33.8,31,76,64.4,52,14,7.3,0,29.4,29.3,29.3,2021-04-15,1.0,0.0,0.0,0.0
55,46.0,38,36,30.5,22,79,56.8,40,10,6.8,0,29.3,29.3,29.3,2021-04-16,1.0,0.0,0.0,0.0
62,52.2,39,31,27.2,24,62,40.2,24,15,5.6,0,29.3,29.2,29.2,2021-04-17,1.0,0.0,0.0,0.0
53,47.0,42,41,32.6,21,76,58.4,43,18,12.8,7,29.3,29.2,29.1,2021-04-18,1.0,0.0,0.0,0.0
42,38.2,34,30,23.2,19,82,56.2,43,13,7.4,0,29.4,29.4,29.3,2021-04-19,1.0,0.0,0.0,0.0
49,38.8,34,30,25.2,14,82,62.1,26,23,8.8,0,29.4,29.4,29.4,2021-04-20,1.0,0.0,0.0,0.0
60,46.5,32,27,23.3,18,75,44.4,23,16,9.3,3,29.5,29.4,29.3,2021-04-21,1.0,0.0,0.0,0.0
61,53.3,44,39,29.8,25,59,41.8,28,16,10.3,6,29.4,29.4,29.3,2021-04-22,1.0,0.0,0.0,0.0
62,54.9,50,46,42.2,38,74,62.6,52,20,6.6,0,29.3,29.2,29.1,2021-04-23,1.0,0.0,0.0,0.0
48,43.0,41,37,27.7,22,73,55.7,42,16,12.0,7,29.5,29.4,29.3,2021-04-24,1.0,0.0,0.0,0.0
79,61.0,40,42,34.5,21,65,39.3,22,31,15.3,8,29.4,29.2,29.0,2021-04-25,1.0,0.0,0.0,0.0
87,73.2,61,55,49.9,43,58,44.8,32,25,15.6,5,29.1,29.1,29.0,2021-04-26,1.0,0.0,0.0,0.0
59,48.1,45,46,42.1,40,87,80.2,62,14,9.2,5,29.3,29.2,29.1,2021-04-27,1.0,0.0,0.0,0.0
62,54.1,47,51,45.4,41,86,73.7,48,21,8.2,0,29.3,29.2,29.1,2021-04-28,1.0,0.0,0.0,0.0
56,49.5,43,40,33.3,28,74,54.6,42,26,11.3,3,29.6,29.5,29.3,2021-04-29,1.0,0.0,0.0,0.0
19,12.2,5,61,43.4,32,18,11.8,5,29.9,29.8,29.7,0.00,0,0,2021-04-30,1.0,0.0,0.0,0.0
33,24.2,20,29,18.3,9,88,78.3,62,22,15.4,10,29.7,29.6,29.4,2022-02-01,1.0,0.0,0.0,0.0
27,24.8,20,18,14.6,9,72,65.4,59,24,17.4,9,29.8,29.7,29.7,2022-02-02,1.0,0.0,0.0,0.0
25,19.6,12,15,10.0,4,78,66.9,46,16,10.7,3,29.7,29.6,29.6,2022-02-03,1.0,0.0,0.0,0.0
19,14.0,6,6,2.9,-1,73,61.7,50,18,11.4,0,29.8,29.7,29.5,2022-02-04,1.0,0.0,0.0,0.0
33,27.0,19,25,16.6,6,75,64.9,57,16,12.3,8,29.5,29.5,29.4,2022-02-05,1.0,0.0,0.0,0.0
31,23.8,18,26,14.8,10,82,69.0,53,16,10.7,5,29.5,29.5,29.4,2022-02-06,1.0,0.0,0.0,0.0
40,30.0,19,29,19.2,10,71,64.4,56,14,10.6,5,29.4,29.3,29.1,2022-02-07,1.0,0.0,0.0,0.0
41,37.6,34,30,28.6,27,76,70.3,60,20,13.4,8,29.1,29.1,29.0,2022-02-08,1.0,0.0,0.0,0.0
36,31.5,28,28,22.1,18,76,68.5,59,17,13.3,8,29.3,29.2,29.0,2022-02-09,1.0,0.0,0.0,0.0
44,37.3,31,35,30.1,21,86,75.8,60,24,17.1,13,29.3,29.0,28.8,2022-02-10,1.0,0.0,0.0,0.0
29,19.8,15,19,5.4,0,67,54.1,42,20,12.0,5,29.7,29.6,29.4,2022-02-11,1.0,0.0,0.0,0.0
19,16.1,14,7,2.2,-1,70,54.6,43,13,8.6,3,29.6,29.6,29.6,2022-02-12,1.0,0.0,0.0,0.0
27,21.5,16,16,8.2,-1,66,56.7,47,10,7.3,5,29.7,29.6,29.6,2022-02-13,1.0,0.0,0.0,0.0
46,33.1,23,29,18.5,10,71,55.7,43,17,11.3,3,29.8,29.6,29.3,2022-02-14,1.0,0.0,0.0,0.0
54,49.8,43,48,40.6,30,93,71.7,52,26,15.7,0,29.3,29.2,29.1,2022-02-15,1.0,0.0,0.0,0.0
39,26.5,18,35,20.2,8,86,77.4,65,23,18.8,13,29.4,29.3,29.2,2022-02-16,1.0,0.0,0.0,0.0
32,22.4,9,23,10.1,2,73,60.0,45,26,17.1,5,29.6,29.4,29.2,2022-02-17,1.0,0.0,0.0,0.0
25,17.4,12,8,2.2,-4,62,51.8,44,29,14.3,6,29.8,29.6,29.3,2022-02-18,1.0,0.0,0.0,0.0
49,37.7,20,33,24.0,9,73,58.5,46,29,16.8,6,29.5,29.3,29.2,2022-02-19,1.0,0.0,0.0,0.0
54,43.9,34,48,36.0,29,86,74.3,61,12,5.9,0,29.3,29.2,29.1,2022-02-20,1.0,0.0,0.0,0.0
54,38.1,26,51,34.3,17,93,86.2,69,22,10.8,0,29.5,29.2,29.0,2022-02-21,1.0,0.0,0.0,0.0
25,22.6,18,16,11.1,6,71,61.6,46,18,12.6,6,29.8,29.8,29.6,2022-02-22,1.0,0.0,0.0,0.0
29,27.5,24,23,19.9,15,85,73.3,61,20,11.9,5,29.8,29.6,29.4,2022-02-23,1.0,0.0,0.0,0.0
31,27.0,20,23,18.5,13,85,71.3,51,13,7.5,0,29.8,29.7,29.4,2022-02-24,1.0,0.0,0.0,0.0
33,25.7,16,22,15.0,9,77,64.6,51,16,11.1,5,29.8,29.8,29.6,2022-02-25,1.0,0.0,0.0,0.0
45,36.0,29,22,19.8,18,69,53.4,35,16,9.0,0,29.6,29.5,29.5,2022-02-26,1.0,0.0,0.0,0.0
55,42.5,30,31,26.6,21,75,55.2,34,24,10.2,0,29.5,29.4,29.3,2022-02-27,1.0,0.0,0.0,0.0
38,30.0,22,89,70.8,55,17,10.7,6,29.4,29.3,29.2,0.00,0,0,2022-02-28,1.0,0.0,0.0,0.0
34,24.2,12,18,10.2,-7,68,55.8,41,23,14.8,8,29.7,29.5,29.4,2023-02-01,1.0,0.0,0.0,0.0
12,8.1,2,-2,-9.4,-13,56,45.6,34,21,9.1,0,29.9,29.9,29.7,2023-02-02,1.0,0.0,0.0,0.0
42,29.3,13,27,15.4,-2,65,56.3,51,21,14.9,9,29.8,29.4,29.2,2023-02-03,1.0,0.0,0.0,0.0
43,37.0,29,29,25.9,21,73,64.8,57,17,11.9,3,29.5,29.3,29.2,2023-02-04,1.0,0.0,0.0,0.0
46,36.3,24,30,24.8,20,85,64.3,49,25,10.5,0,29.6,29.4,29.1,2023-02-05,1.0,0.0,0.0,0.0
50,39.7,31,41,31.9,24,82,74.2,54,22,14.0,5,29.6,29.3,29.1,2023-02-06,1.0,0.0,0.0,0.0
43,35.2,27,32,26.3,23,85,71.2,51,10,4.3,0,29.6,29.5,29.3,2023-02-07,1.0,0.0,0.0,0.0
47,39.4,36,45,37.5,32,100,93.2,79,20,13.0,3,29.4,29.0,28.8,2023-02-08,1.0,0.0,0.0,0.0
39,34.0,26,32,21.5,10,89,62.5,30,16,10.3,0,29.7,29.6,29.4,2023-02-09,1.0,0.0,0.0,0.0
47,34.5,23,24,18.5,12,81,55.6,25,14,8.5,0,29.7,29.6,29.5,2023-02-10,1.0,0.0,0.0,0.0
52,41.0,29,25,22.2,19,72,49.5,28,12,8.6,0,29.5,29.3,29.1,2023-02-11,1.0,0.0,0.0,0.0
52,43.0,35,27,23.5,18,70,48.3,26,16,9.7,5,29.2,29.2,29.1,2023-02-12,1.0,0.0,0.0,0.0
54,47.2,36,46,33.3,23,83,59.4,43,28,14.5,6,29.2,29.0,28.8,2023-02-13,1.0,0.0,0.0,0.0
52,43.3,36,46,35.4,28,90,74.0,66,31,18.7,8,29.4,29.1,28.8,2023-02-14,1.0,0.0,0.0,0.0
36,32.2,25,33,28.8,20,100,87.6,72,24,17.5,7,29.4,29.2,29.1,2023-02-15,1.0,0.0,0.0,0.0
27,23.2,20,20,14.2,9,81,68.8,55,18,12.7,5,29.6,29.6,29.4,2023-02-16,1.0,0.0,0.0,0.0
46,36.3,24,29,23.2,15,69,59.6,49,16,12.8,9,29.6,29.5,29.3,2023-02-17,1.0,0.0,0.0,0.0
52,44.1,39,33,29.7,27,73,57.8,43,22,14.3,8,29.3,29.2,29.1,2023-02-18,1.0,0.0,0.0,0.0
45,38.7,31,31,28.2,24,76,66.3,55,12,7.1,0,29.2,29.1,28.9,2023-02-19,1.0,0.0,0.0,0.0
41,33.3,26,32,17.0,9,73,52.5,33,23,12.9,0,29.2,29.1,28.9,2023-02-20,1.0,0.0,0.0,0.0
35,34.4,34,35,29.6,21,100,83.6,59,22,16.0,6,29.1,29.0,28.9,2023-02-21,1.0,0.0,0.0,0.0
43,34.3,24,40,28.1,11,100,79.5,57,25,14.9,0,29.8,29.3,29.0,2023-02-22,1.0,0.0,0.0,0.0
28,24.6,18,23,15.9,10,88,70.1,51,13,8.6,5,30.0,29.9,29.7,2023-02-23,1.0,0.0,0.0,0.0
38,31.8,28,27,24.0,22,85,73.5,57,14,9.8,5,29.7,29.5,29.4,2023-02-24,1.0,0.0,0.0,0.0
50,37.8,28,29,25.9,23,92,64.8,38,12,7.5,0,29.4,29.3,29.1,2023-02-25,1.0,0.0,0.0,0.0
58,46.9,39,51,40.5,27,93,79.1,58,25,17.2,8,29.1,28.7,28.4,2023-02-26,1.0,0.0,0.0,0.0
50,42.0,37,35,30.5,26,82,64.8,39,14,8.0,0,29.2,29.2,29.0,2023-02-27,1.0,0.0,0.0,0.0
13,4.6,-4,70,56.3,39,16,9.8,5,29.7,29.6,29.5,0.00,0,0,2023-02-28,1.0,0.0,0.0,0.0
60,44.0,34,37,30.9,26,78,61.4,42,20,10.0,0,29.5,29.4,29.3,2022-03-01,1.0,0.0,0.0,0.0
37,32.8,30,26,17.3,13,70,53.4,45,24,12.3,6,29.8,29.7,29.5,2022-03-02,1.0,0.0,0.0,0.0
43,37.4,30,24,20.2,16,69,50.8,40,14,9.1,3,29.8,29.6,29.4,2022-03-03,1.0,0.0,0.0,0.0
71,59.3,43,55,43.1,22,77,55.7,41,28,17.8,8,29.4,29.1,29.0,2022-03-04,1.0,0.0,0.0,0.0
61,44.1,37,52,33.4,28,79,66.3,58,31,15.3,3,29.4,29.3,29.0,2022-03-05,1.0,0.0,0.0,0.0
37,34.8,32,32,27.9,18,89,76.7,56,17,13.1,7,29.5,29.3,29.1,2022-03-06,1.0,0.0,0.0,0.0
41,34.4,28,24,20.2,16,70,56.6,45,14,7.8,3,29.6,29.5,29.4,2022-03-07,1.0,0.0,0.0,0.0
44,36.6,30,26,22.0,16,73,56.7,40,14,9.8,6,29.5,29.4,29.3,2022-03-08,1.0,0.0,0.0,0.0
32,28.0,26,21,16.7,13,81,63.8,47,13,7.3,3,29.6,29.5,29.5,2022-03-09,1.0,0.0,0.0,0.0
33,25.7,18,21,13.7,-1,82,62.6,36,25,12.8,5,29.5,29.4,29.3,2022-03-10,1.0,0.0,0.0,0.0
24,19.0,13,8,2.3,-1,57,48.5,38,17,13.8,10,29.5,29.5,29.4,2022-03-11,1.0,0.0,0.0,0.0
23,22.5,22,8,8.0,8,55,54.0,53,12,10.5,9,29.4,29.4,29.3,2022-03-12,1.0,0.0,0.0,0.0
65,50.9,40,35,32.8,32,77,53.0,29,18,10.0,0,29.5,29.4,29.4,2022-03-13,1.0,0.0,0.0,0.0
53,43.5,38,34,32.9,31,79,67.5,48,10,5.2,0,29.6,29.5,29.4,2022-03-14,1.0,0.0,0.0,0.0
71,56.3,40,44,39.6,32,77,56.4,34,20,7.8,0,29.4,29.3,29.2,2022-03-15,1.0,0.0,0.0,0.0
72,58.3,50,46,42.0,36,66,55.4,40,12,8.0,3,29.3,29.2,29.2,2022-03-16,1.0,0.0,0.0,0.0
50,44.6,43,41,38.7,35,93,80.6,59,22,13.5,6,29.3,29.1,28.9,2022-03-17,1.0,0.0,0.0,0.0
44,41.2,39,39,37.3,35,93,86.3,79,17,11.2,0,29.3,29.1,28.9,2022-03-18,1.0,0.0,0.0,0.0
63,50.0,36,37,32.9,30,79,55.2,35,13,6.1,0,29.5,29.4,29.3,2022-03-19,1.0,0.0,0.0,0.0
76,61.7,47,40,36.9,34,63,42.0,25,17,9.1,0,29.5,29.4,29.3,2022-03-20,1.0,0.0,0.0,0.0
61,55.1,50,48,44.4,36,83,68.5,42,24,15.2,3,29.3,29.2,28.9,2022-03-21,1.0,0.0,0.0,0.0
60,53.4,47,54,49.5,43,93,86.5,75,17,10.6,3,28.9,28.8,28.8,2022-03-22,1.0,0.0,0.0,0.0
47,44.0,43,43,39.5,37,93,84.0,76,18,10.9,5,29.1,29.0,28.9,2022-03-23,1.0,0.0,0.0,0.0
49,42.8,37,39,33.4,24,86,70.4,43,33,16.5,7,29.1,29.1,29.0,2022-03-24,1.0,0.0,0.0,0.0
36,32.8,30,28,19.4,13,76,58.2,47,21,16.4,9,29.4,29.2,29.0,2022-03-25,1.0,0.0,0.0,0.0
37,29.5,25,15,11.5,6,63,48.0,30,17,9.5,3,29.5,29.5,29.4,2022-03-26,1.0,0.0,0.0,0.0
35,30.0,25,16,10.6,6,69,45.4,34,16,9.4,0,29.7,29.6,29.5,2022-03-27,1.0,0.0,0.0,0.0
45,38.1,31,21,17.3,13,59,44.1,32,21,13.8,8,29.6,29.4,29.1,2022-03-28,1.0,0.0,0.0,0.0
63,56.7,45,59,49.6,23,93,78.8,42,20,11.4,3,29.1,28.7,28.5,2022-03-29,1.0,0.0,0.0,0.0
58,41.5,36,56,36.5,29,97,82.7,70,20,11.8,6,29.1,28.8,28.5,2022-03-30,1.0,0.0,0.0,0.0
33,30.8,29,79,61.9,48,12,7.8,0,29.4,29.3,29.2,0.00,0,0,2022-03-31,1.0,0.0,0.0,0.0
43,33.6,23,30,19.6,10,70,57.1,43,20,11.0,0,29.7,29.5,29.3,2021-03-01,1.0,0.0,0.0,0.0
59,44.0,36,32,29.1,21,79,58.9,25,13,7.7,0,29.5,29.3,29.2,2021-03-02,1.0,0.0,0.0,0.0
38,33.9,30,30,23.3,19,82,65.6,53,20,13.2,5,29.7,29.6,29.5,2021-03-03,1.0,0.0,0.0,0.0
49,36.2,26,24,19.6,14,76,54.2,25,17,5.3,0,29.7,29.7,29.6,2021-03-04,1.0,0.0,0.0,0.0
45,35.6,29,25,22.3,19,76,59.6,39,12,4.0,0,29.7,29.7,29.6,2021-03-05,1.0,0.0,0.0,0.0
51,40.8,27,28,23.0,17,81,52.3,32,13,7.2,0,29.8,29.7,29.6,2021-03-06,1.0,0.0,0.0,0.0
65,53.7,43,38,33.4,28,62,47.5,33,21,11.9,3,29.6,29.6,29.6,2021-03-07,1.0,0.0,0.0,0.0
68,56.3,44,40,33.5,29,63,44.5,24,21,11.2,0,29.6,29.5,29.4,2021-03-08,1.0,0.0,0.0,0.0
68,61.6,56,53,45.9,37,70,56.8,45,26,20.7,13,29.4,29.2,29.1,2021-03-09,1.0,0.0,0.0,0.0
64,52.6,43,52,37.7,30,75,58.0,40,25,15.2,7,29.6,29.4,29.2,2021-03-10,1.0,0.0,0.0,0.0
53,43.5,37,32,26.3,23,70,52.1,32,14,7.5,6,29.8,29.7,29.6,2021-03-11,1.0,0.0,0.0,0.0
59,46.3,33,28,21.9,13,76,41.5,22,10,4.4,0,29.8,29.7,29.6,2021-03-12,1.0,0.0,0.0,0.0
47,42.2,38,27,24.7,20,65,50.7,36,22,14.8,3,29.7,29.7,29.6,2021-03-13,1.0,0.0,0.0,0.0
40,33.1,30,30,23.1,11,89,68.7,38,25,16.6,6,29.7,29.5,29.3,2021-03-14,1.0,0.0,0.0,0.0
38,35.0,33,32,29.9,27,96,82.3,70,13,6.7,3,29.4,29.3,29.3,2021-03-15,1.0,0.0,0.0,0.0
41,37.1,33,34,31.6,27,86,80.6,72,21,12.1,3,29.4,29.3,29.2,2021-03-16,1.0,0.0,0.0,0.0
42,39.0,38,35,31.9,27,89,76.2,63,30,23.2,16,29.6,29.3,29.2,2021-03-17,1.0,0.0,0.0,0.0
46,38.9,34,27,18.6,12,72,45.0,30,24,12.3,0,29.9,29.8,29.7,2021-03-18,1.0,0.0,0.0,0.0
58,44.7,32,28,23.3,16,82,47.6,23,10,6.3,0,29.9,29.8,29.7,2021-03-19,1.0,0.0,0.0,0.0
65,53.0,39,27,23.9,18,55,35.4,16,18,9.4,0,29.7,29.6,29.5,2021-03-20,1.0,0.0,0.0,0.0
68,57.6,47,37,30.8,24,49,36.9,26,18,10.3,3,29.5,29.4,29.3,2021-03-21,1.0,0.0,0.0,0.0
66,57.6,52,50,42.3,37,77,58.4,34,18,11.5,5,29.3,29.2,29.0,2021-03-22,1.0,0.0,0.0,0.0
60,55.3,49,50,45.1,41,80,68.7,55,26,17.1,8,29.2,29.0,29.0,2021-03-23,1.0,0.0,0.0,0.0
50,45.4,39,40,36.8,34,86,72.3,63,25,13.6,0,29.3,29.2,29.0,2021-03-24,1.0,0.0,0.0,0.0
42,39.2,36,34,32.8,31,86,78.3,73,21,7.8,0,29.4,29.3,29.0,2021-03-25,1.0,0.0,0.0,0.0
65,51.6,38,51,42.7,33,89,73.0,52,20,9.5,0,29.4,29.3,29.1,2021-03-26,1.0,0.0,0.0,0.0
52,44.4,37,43,26.2,17,74,51.0,29,25,16.0,5,29.5,29.3,29.1,2021-03-27,1.0,0.0,0.0,0.0
62,47.7,32,34,27.0,20,66,46.1,35,24,14.5,0,29.5,29.4,29.2,2021-03-28,1.0,0.0,0.0,0.0
68,56.7,48,39,31.4,18,50,38.9,27,24,17.0,12,29.3,29.2,29.1,2021-03-29,1.0,0.0,0.0,0.0
45,39.4,35,18,14.8,11,46,37.2,31,20,15.5,10,29.7,29.5,29.3,2021-03-30,1.0,0.0,0.0,0.0
25,14.7,6,72,54.6,35,13,8.8,3,29.7,29.6,29.3,0.06,0,0,2021-03-31,1.0,0.0,0.0,0.0
54,43.3,35,34,31.8,29,82,64.8,45,23,15.0,3,29.1,28.9,28.8,2020-02-01,1.0,0.0,0.0,0.0
46,38.8,31,35,31.8,28,89,76.5,63,17,8.9,0,29.1,29.1,29.0,2020-02-02,1.0,0.0,0.0,0.0
38,34.8,31,32,25.6,19,79,69.4,61,28,20.6,13,29.5,29.3,29.1,2020-02-03,1.0,0.0,0.0,0.0
31,28.8,27,25,21.0,14,89,73.8,50,17,13.1,8,29.5,29.3,29.1,2020-02-04,1.0,0.0,0.0,0.0
31,29.0,28,26,23.9,20,89,81.5,69,21,12.0,6,29.1,29.0,28.9,2020-02-05,1.0,0.0,0.0,0.0
37,29.5,22,23,16.8,11,84,61.7,34,14,8.6,5,29.3,29.1,28.9,2020-02-06,1.0,0.0,0.0,0.0
35,30.4,27,26,21.7,18,89,70.8,52,12,7.4,5,29.6,29.4,29.3,2020-02-07,1.0,0.0,0.0,0.0
37,32.2,23,34,27.8,18,93,84.5,70,18,11.2,6,29.6,29.4,29.2,2020-02-08,1.0,0.0,0.0,0.0
36,30.6,27,29,24.6,21,88,78.7,64,14,7.8,0,29.5,29.4,29.3,2020-02-09,1.0,0.0,0.0,0.0
35,30.0,25,25,20.9,17,89,70.0,52,21,11.0,6,29.5,29.4,29.4,2020-02-10,1.0,0.0,0.0,0.0
36,31.7,25,31,26.4,17,96,81.5,59,12,6.0,0,29.5,29.3,29.1,2020-02-11,1.0,0.0,0.0,0.0
32,20.0,5,31,13.7,-5,96,77.2,58,21,12.5,3,29.8,29.4,29.1,2020-02-12,1.0,0.0,0.0,0.0
13,6.0,-1,-2,-5.5,-11,67,59.6,47,12,8.4,5,29.9,29.8,29.7,2020-02-13,1.0,0.0,0.0,0.0
32,24.2,8,22,14.7,-1,75,67.3,61,20,14.0,8,29.7,29.5,29.3,2020-02-14,1.0,0.0,0.0,0.0
42,30.3,18,27,21.8,17,96,72.8,43,10,4.4,0,29.5,29.4,29.4,2020-02-15,1.0,0.0,0.0,0.0
40,35.6,30,37,29.9,24,100,80.9,55,16,10.2,0,29.5,29.3,29.1,2020-02-16,1.0,0.0,0.0,0.0
38,34.9,26,37,26.6,15,97,73.0,55,20,13.1,7,29.7,29.4,29.1,2020-02-17,1.0,0.0,0.0,0.0
31,23.5,17,14,4.8,0,68,46.0,29,14,9.3,3,29.9,29.9,29.8,2020-02-18,1.0,0.0,0.0,0.0
25,18.3,11,1,-2.6,-5,54,40.8,28,15,10.1,5,30.0,30.0,29.9,2020-02-19,1.0,0.0,0.0,0.0
37,25.4,12,18,8.7,-1,65,50.9,31,20,12.7,6,30.0,29.8,29.6,2020-02-20,1.0,0.0,0.0,0.0
50,37.8,26,27,20.9,16,66,51.6,37,18,12.0,7,29.6,29.5,29.4,2020-02-21,1.0,0.0,0.0,0.0
55,43.4,33,33,28.0,23,70,55.6,38,17,10.4,3,29.4,29.3,29.3,2020-02-22,1.0,0.0,0.0,0.0
42,39.8,38,33,30.2,25,83,68.9,57,15,11.0,3,29.3,29.2,29.2,2020-02-23,1.0,0.0,0.0,0.0
39,35.7,32,34,31.0,28,100,83.5,68,25,19.6,14,29.4,29.3,29.2,2020-02-24,1.0,0.0,0.0,0.0
32,29.7,26,30,23.0,11,96,77.1,53,22,16.1,10,29.4,29.4,29.4,2020-02-25,1.0,0.0,0.0,0.0
31,26.5,22,19,13.4,9,78,58.2,49,18,11.2,5,29.4,29.4,29.4,2020-02-26,1.0,0.0,0.0,0.0
